Address,City,State,Zip,Qty,Service,Size,Freq.
5525 SHERWOOD WAY,San Angelo,TX,76904,1,Trash,2 Yard,5x/week
5601 Crowley Rd,Fort Worth,TX,76134,1,Trash,8 Yard,2x/week
5732 W AMARILLO BLVD,Amarillo,TX,79106,1,Trash,3 Yard,2x/week
5745 E SAM HOUSTON PKWY N,Houston,TX,77015,1,Trash,8 Yard,2x/week
6005 Central Expressway,Plano,TX,75023,1,Trash,8 Yard,2x/week
601 N Westgate Dr,Weslaco,TX,78596,1,Trash,8 Yard,2x/week
601 S Angel Pkwy,Lucas,TX,75002,1,Trash,6 Yard,2x/week
6010 N FRY RD,Katy,TX,77449,1,Trash,6 Yard,2x/week
6021 Campbell Rd,Dallas,TX,75248,1,Trash,8 Yard,3x/week
603 FM 1821,Mineral Wells,TX,76067,1,Trash,4 Yard,2x/week
605 UPTOWN BLVD,Cedar Hill,TX,75104,1,Trash,6 Yard,3x/week
609 E KNOX ST,Ennis,TX,75119,1,Trash,8 Yard,2x/week
6100 Coit Rd,Plano,TX,75023,1,Trash,8 Yard,2x/week
618 W 29TH ST,San Angelo,TX,76903,1,Trash,4 Yard,2x/week
626 N CESAR CHAVEZ RD,Alamo,TX,78516,1,Trash,8 Yard,2x/week
6313 82ND ST,Lubbock,TX,79424,1,Trash,8 Yard,2x/week
6410 Lemmon Ave,Dallas,TX,75209,1,Trash,8 Yard,3x/week
6414 HIGHWAY 6,Missouri City,TX,77459,1,Trash,8 Yard,2x/week
6610 FM 1960 RD E,Humble,TX,77346,1,Trash,6 Yard,2x/week
6610 Highway 90 Alt.,Sugar Land,TX,77478,1,Trash,8 Yard,2x/week
6625 Saratoga Blvd,Corpus Christi,TX,78414,1,Trash,6 Yard,2x/week
6711 LESLIE RD,San Antonio,TX,78254,1,Trash,4 Yard,2x/week
6740 W VICKERY BLVD,Fort Worth,TX,76116,1,Trash,4 Yard,2x/week
6781 Lake Worth Blvd,Lake Worth,TX,76135,1,Trash,8 Yard,3x/week
6810 SEAWALL BLVD,Galveston,TX,77551,1,Trash,8 Yard,2x/week
6914 LAKEVIEW HAVEN DR,Houston,TX,77084,1,Trash,8 Yard,2x/week
7001 Oakmont Blvd,Fort Worth,TX,76132,1,Trash,6 Yard,2x/week
701 W SUBLETT RD,Arlington,TX,76017,1,Trash,4 Yard w/ Lockbar,3x/week
7035 West Wheatland Rd.,Dallas,TX,75249,1,Trash,6 Yard,2x/week
705 19th Street,Lubbock,TX,79401,1,Trash,8 Yard,3x/week
710 E BEN WHITE BLVD,Austin,TX,78704,1,Trash,2 Yard w/ Lockbar,3x/week
710 E BEN WHITE BLVD,Austin,TX,78704,1,OCC-Recycling,2 Yard w/ Lockbar,2x/week
7401 MCCART AVE,Fort Worth,TX,76133,1,Trash,4 Yard,3x/week
7424 N Mesa,El Paso,TX,79912,1,Trash,8 Yard,2x/week
7639 NW LOOP 410,San Antonio,TX,78245,1,Trash,6 Yard,3x/week
776 E INTERSTATE 30,Rockwall,TX,75087,1,Trash,8 Yard,2x/week
7800 Paseo del Notre Drive,El Paso,TX,79932,1,Trash,8 Yard,2x/week
791 S Preston Rd,Prosper,TX,75078,1,Trash,8 Yard,3x/week
8000 Hwy 191,Odessa,TX,79765,1,Trash,8 Yard,3x/week
801 E HIGHWAY 377,Granbury,TX,76048,1,Trash,6 Yard,2x/week
802 E US HIGHWAY 80,Forney,TX,75126,1,Trash,8 Yard,3x/week
8030 BANDERA RD,San Antonio,TX,78250,1,Trash,8 Yard,1x/week
806 S HIGHWAY 287,Decatur,TX,76234,1,Trash,8 Yard,2x/week
8060 INDEPENDENCE PKWY,Plano,TX,75025,1,Trash,6 Yard,1x/week
813 West Marshall Ave,Longview,TX,75601,1,Trash,8 Yard,2x/week
8202 University Ave,Lubbock,TX,79423,1,Trash,8 Yard,2x/week
8315 FM 78,Converse,TX,78244,1,Trash,6 Yard,2x/week
841 W Rendon Crowley Rd,Fort Worth,TX,76028,1,Trash,8 Yard,2x/week
8508 N NAVARRO ST,Victoria,TX,77904,1,Trash,4 Yard,2x/week
8515 IMPERIAL DR,Waco,TX,76712,1,Trash,8 Yard,3x/week
8526 JONES MALTSBERGER RD,San Antonio,TX,78216,1,Trash,8 Yard,1x/week
8610 W BELLFORT ST,Houston,TX,77031,1,Trash,8 Yard,1x/week
8779 Fry Rd,Cypress,TX,77433,1,Trash,8 Yard,2x/week
8800 N SH 146,Baytown,TX,77523,1,Trash,6 Yard,2x/week
90 North LHS Drive,Lumberton,TX,77657,1,Trash,8 Yard,2x/week
900 West Pioneer Parkway,Arlington,TX,76013,1,Trash,8 Yard,3x/week
9050 Coit Road,Frisco,TX,75240,1,OCC-Recycling,8 Yard,1x/week
